,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,cv_beta,heat_max,beta_max,threshold_lm,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
0,1,0,manipulated_front,0,quickshift,blend_2,100,100,False,30000,50,3,0.29748280468719146,lm_p_loss,1.0393835662037343,1.1922553,1.192255310363454,1.1406475,0.07407407407407407,0.010112454611837485,0.011694243085399403,0.0624390243902439,0.01530971237708133,0.017493406578267718,0.0017735849008507405,0.34562302,33.362762,0.9084351888077608,0.8028489679326127,0.826882303308555,0.8403861473412303,0.7946631345246457
1,2,0,manipulated_front,1,quickshift,blend_2,100,100,False,30000,50,3,0.2921666262767344,lm_p_loss,1.0647277261907444,1.2384137,1.2384136583815035,1.0445062,0.016930022573363433,0.004412877150123581,0.002977321050198123,0.04296875,0.010466528191137565,0.012059906567272198,0.001714105926415262,0.38504577,31.697142,0.8336792032936464,0.6416532213196839,0.7509833648603539,0.7886683542895293,0.630171358629131
2,3,0,manipulated_front,2,quickshift,blend_2,100,100,False,30000,50,3,0.2052210267445536,lm_p_loss,0.870760634286038,0.8337819,0.8337818745287098,0.8337819,0.06521739130434782,0.00731216831940475,0.008725981383206691,0.0361328125,0.008801398706183862,0.01014128506793344,0.0015417944523505867,0.3531178,29.259853,0.7139552839681305,0.9364864038198595,0.9557419412438681,0.9676260955394742,0.9364864038198594
