,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,cv_beta,heat_max,beta_max,threshold_lm,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
0,1,0,good,0,quickshift,blend_2,100,100,False,30000,50,3,28.905784119906482,lm_p_loss,-1.7035410836937828,51.532627,51.532627185635796,51.532627,0.0,0.0,0.0,0.0,0.0,0.0,0.0014964501994351547,0.5591305,19.898445,0.0,0.0,0.0,0.0,0.0
1,2,0,good,0,quickshift,blend_3,100,100,False,30000,50,3,23.762449879071248,lm_p_loss,-1.357999681988291,40.20668,40.20668205771827,40.20668,0.0,0.0,0.0,0.0,0.0,0.0,0.0014964501994351547,0.5591305,19.898445,0.0,0.0,0.0,0.0,0.0
2,3,0,good,1,quickshift,blend_2,100,100,False,30000,50,3,29.159138076770343,lm_p_loss,-1.758408842632575,92.20524,92.20523816020916,92.20524,0.0,0.0,0.0,0.0,0.0,0.0,0.017956793812724452,0.54702216,20.916147,0.0,0.0,0.0,0.0,0.0
