,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,g_x,r2_score,cv_beta,heat_max,beta_max,threshold_lm,rc_y,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
15,16,0,good,7,quickshift,blend_3,100,100,False,30000,5000,3,0.11984522886388035,lm_p_maxloss,8.490346188638252,0.9892496266625584,1.7038650322888806,0.58000356,0.5800035765885556,0.58000356,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0023970524149869257,0.23482573,8.353576,0.0,0.0,0.0,0.0,0.0
16,17,0,good,8,quickshift,blend_2,100,100,False,30000,5000,3,0.12819454513130424,lm_p_maxloss,8.068014407141224,0.99513483441557,1.6798437318023602,0.7893974,0.7893973992227474,0.7893974,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004008622053030801,0.39616314,8.115622,0.0,0.0,0.0,0.0,0.0
17,18,0,good,8,quickshift,blend_3,100,100,False,30000,5000,3,0.11964169036771244,lm_p_maxloss,8.07766643310349,0.9940926638026132,1.5710874474737029,0.80960226,0.8096022880043583,0.80960226,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004008622053030801,0.39616314,8.115622,0.0,0.0,0.0,0.0,0.0
18,19,0,good,9,quickshift,blend_2,100,100,False,30000,5000,3,0.10796647825717721,lm_p_maxloss,8.307235304181987,0.9961261869241568,1.3706793841724467,0.6070489,0.6070489181325216,0.6070489,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0024087781906321957,0.41793042,8.214086,0.0,0.0,0.0,0.0,0.0
19,20,0,good,9,quickshift,blend_3,100,100,False,30000,5000,3,0.10579975255808174,lm_p_maxloss,8.302564554681044,0.995887054301803,1.3458660515997771,0.43684795,0.436847963392934,0.43684795,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0024087781906321957,0.41793042,8.214086,0.0,0.0,0.0,0.0,0.0
20,21,0,good,10,quickshift,blend_2,100,100,False,30000,5000,3,0.11176551708500708,lm_p_maxloss,9.238868236699995,0.9913100635811984,1.3659397682365055,0.70180124,0.7018012669576816,0.70180124,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0037742272215837147,0.27204782,9.158384,0.0,0.0,0.0,0.0,0.0
21,22,0,good,10,quickshift,blend_3,100,100,False,30000,5000,3,0.12017224581626923,lm_p_maxloss,9.287206870567047,0.9916365748470094,1.453392237035787,0.6374745,0.6374744904675448,0.6374745,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0037742272215837147,0.27204782,9.158384,0.0,0.0,0.0,0.0,0.0
22,23,0,good,11,quickshift,blend_2,100,100,False,30000,5000,3,0.11143782625944959,lm_p_maxloss,7.3603585893761085,0.991416536074903,1.7508202047214945,0.85691065,0.856910662183182,0.85691065,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0027851326109763854,0.27811226,7.3007693,0.0,0.0,0.0,0.0,0.0
23,24,0,good,11,quickshift,blend_3,100,100,False,30000,5000,3,0.1156510317043832,lm_p_maxloss,7.365885253149185,0.9929183908406384,1.809092549199987,0.83440185,0.8344018518115609,0.83440185,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0027851326109763854,0.27811226,7.3007693,0.0,0.0,0.0,0.0,0.0
24,25,0,good,12,quickshift,blend_2,100,100,False,30000,5000,3,0.09755584646961782,lm_p_maxloss,8.919478143336573,0.9742546907824027,1.498629317267986,0.4120425,0.4120424931345545,0.4120425,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020133613579673693,0.27133438,8.563641,0.0,0.0,0.0,0.0,0.0
