,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,cv_beta,heat_max,beta_max,threshold_lm,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
10,11,0,manipulated_front,10,quickshift,blend_2,100,100,False,30000,5000,3,0.41203952584160086,lm_p_loss,1.409623077652439,2.3947399,2.394739776959455,1.9453986,0.18055555555555555,0.013653323107202435,0.026180869759170215,0.30434782608695654,0.04455378557951163,0.06707241367759502,0.028079654611550115,0.3314902,29.717884,0.9192730444773939,0.8992520920723026,0.9633808141868059,0.9674741368749656,0.8992520920723026
11,12,0,manipulated_front,11,quickshift,blend_2,100,100,False,30000,5000,3,0.4475811571834978,lm_p_loss,1.4783310603808426,2.4982145,2.498214551391364,1.8008305,0.040498442367601244,0.00744630540107883,0.00611946134760363,0.5416666666666666,0.039554850960905615,0.08149605198857995,0.015814190497621894,0.3968177,33.99733,0.951196800370911,0.9152608815129214,0.908868916530679,0.8955822770138011,0.9152608815129213
12,13,0,manipulated_front,12,quickshift,blend_2,100,100,False,30000,5000,3,0.37894000661755717,lm_p_loss,1.3848363036964928,2.0005877,2.0005876177402464,1.049332,0.006090808416389812,0.0029155419492501557,0.0013707628188739207,0.16666666666666666,0.013324629087339165,0.023244118349895045,0.011808464837182934,0.46579874,30.07198,0.9271282653932283,0.8108126773224286,0.8545282459203105,0.877821025769916,0.8108126773224285
13,14,0,manipulated_front,13,quickshift,blend_2,100,100,False,30000,5000,3,0.5414504204738843,lm_p_loss,1.674190588177787,3.693475,3.693474961611048,2.537034,0.48148148148148145,0.01657991978088793,0.057013649869245286,0.3333333333333333,0.037776678172707134,0.06901167674339494,0.015242940654085638,0.4011185,34.686905,0.9412060275873326,0.8789030617450212,0.9593778056643814,0.9673114593535749,0.8789030617450212
14,15,0,manipulated_front,14,quickshift,blend_2,100,100,False,30000,5000,3,0.6279220176851853,lm_p_loss,2.08617916052312,5.4289465,5.428946340148966,5.4289465,0.3076923076923077,0.010468780449404868,0.03051039442675994,0.4642857142857143,0.040290603465132524,0.0764499218727435,0.05004690523249641,0.4240667,31.897501,0.9363548426594832,0.8898365372841925,0.9430255907922125,0.9620693032937432,0.8898365372841924
15,16,0,manipulated_front,15,quickshift,blend_2,100,100,False,30000,5000,3,0.6249535232575988,lm_p_loss,1.864669163213598,4.19154,4.1915395457872,4.19154,0.2857142857142857,0.012644712974599593,0.028500970925929892,0.3624161073825503,0.05320741979802617,0.07648695235683123,0.007362263119527294,0.39510775,35.154427,0.8929850593741698,0.8631634884624032,0.9072929057575572,0.9238931469331861,0.8631937376090911
16,17,0,manipulated_front,16,quickshift,blend_2,100,100,False,30000,5000,3,0.6084899340603399,lm_p_loss,1.90475574933644,3.979775,3.9797748707967653,3.4873242,0.5384615384615384,0.030418375348382095,0.0660524017425725,0.458128078817734,0.06820602998083548,0.09220207620139394,0.00828322264230034,0.3686657,33.671463,0.9064260064260063,0.9784144065394066,0.9980273105273104,0.998144845019845,0.9784144065394067
17,18,0,manipulated_front,17,quickshift,blend_2,100,100,False,30000,5000,3,0.5095828278236149,lm_p_loss,1.9446233630386698,3.4137242,3.4137240745235577,2.5681653,0.008827238335435058,0.0027158459853939302,0.0013829544431077467,0.47368421052631576,0.024429580527704005,0.060221201837416014,0.011924835736863315,0.30083248,30.123161,0.9345150774246129,0.7820127852485738,0.8516147106764466,0.8510263854930725,0.7820127852485736
18,19,0,manipulated_front,18,quickshift,blend_2,100,100,False,30000,5000,3,0.5406840100147465,lm_p_loss,1.9642972284950573,3.1994288,3.1994288894021428,3.1261446,0.05466237942122187,0.006104629690012192,0.007271874641961779,0.27586206896551724,0.02923524827351598,0.04958311306542704,0.018796257931777898,0.37167478,29.149933,0.8793074811615994,0.8312171092889488,0.9378449335920882,0.9499420132757544,0.8312171092889488
19,20,0,manipulated_front,19,quickshift,blend_2,100,100,False,30000,5000,3,0.6103078275415368,lm_p_loss,1.7149461458443742,3.4003098,3.4003097494758037,1.7337015,0.021775544388609715,0.0048420255104243545,0.005026793006569895,0.13580246913580246,0.01761922425832387,0.02271472461846905,0.01226868365968888,0.41172785,37.706276,0.9634101072564022,0.9303160919540231,0.9403822974530971,0.941668413513608,0.9303160919540231
20,21,0,manipulated_front,20,quickshift,blend_2,100,100,False,30000,5000,3,0.38866045118024156,lm_p_loss,1.4647382805030273,2.0051877,2.00518768735914,1.6574106,0.024242424242424242,0.003520064566837419,0.0033498760634603506,0.10362694300518134,0.011866458027910766,0.018343940108602835,0.0078023497383886324,0.29565677,29.064123,0.7783966730981338,0.825414771421005,0.8722146072876379,0.8930921387683595,0.825414771421005
