,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,cv_beta,heat_max,beta_max,threshold_lm,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
0,1,0,manipulated_front,0,quickshift,blend_2,100,100,False,30000,5,3,0.11172987310297243,lm_p_loss,0.5172717662726284,0.43751052,0.437510522393403,0.3477006,0.006811145510835914,0.004624094046809239,0.0018970715056901683,0.015869140625,0.008375379774305556,0.005326320992592008,0.001080183142524523,0.34562302,33.362762,0.9084351888077608,0.6509316653075462,0.6616157664261102,0.6781948365991506,0.6509316653075462
1,2,0,manipulated_front,1,quickshift,blend_2,100,100,False,30000,5,3,0.12146125882287413,lm_p_loss,0.5691091828847219,0.48489445,0.4848944456573224,0.48489445,0.012254901960784314,0.004555714988496537,0.002261930998193329,0.0107421875,0.005669487847222221,0.0036055095949853594,0.0009876601203965645,0.38504577,31.697142,0.8336792032936464,0.6427123901190609,0.7178438299766329,0.7217341715811728,0.6427123901190609
2,3,0,manipulated_front,2,quickshift,blend_2,100,100,False,30000,5,3,0.08392146259069885,lm_p_loss,0.47447616887709865,0.36254042,0.36254043737379515,0.10161199,0.0026122564247387744,0.0013277017460635197,0.0009866264080293976,0.009033203125,0.004767523871527778,0.003031905795783143,0.0008019007509574294,0.3531178,29.259853,0.7139552839681305,0.3471990066778101,0.31060827757469345,0.256445103573017,0.3471990066778101
3,4,0,manipulated_front,3,quickshift,blend_2,100,100,False,30000,5,3,0.19975979841222039,lm_p_loss,0.6443525956119415,0.78606933,0.7860693364416698,0.78606933,0.04149377593360996,0.010099538671560963,0.009143374153194998,0.01904296875,0.0111083984375,0.005937688724128569,0.0018200159271752152,0.42104915,49.28144,0.8945503778694015,0.6414541446124913,0.655271616236905,0.7079366726735794,0.6392668107067715
4,5,0,manipulated_front,4,quickshift,blend_2,100,100,False,30000,5,3,0.12257547983204177,lm_p_loss,0.6989592626397824,0.36746833,0.367468330713636,-0.0023040266,0.00213623046875,0.0010004717957527657,0.0007571794878107807,0.008544921875,0.004509819878472222,0.0028680189960110813,0.0008435505345308533,0.41543642,31.690037,0.9490313955418855,0.2709488566360546,0.22847181566369285,0.21655671382260167,0.26550684620291326
5,6,0,manipulated_front,5,quickshift,blend_2,100,100,False,30000,5,3,0.1139721235041298,lm_p_loss,0.5360260368500599,0.39853507,0.3985350628205286,0.06760394,0.0036780932764454905,0.001866881589566662,0.0013453659270803353,0.012451171875,0.006571451822916667,0.004179113394187576,0.0010756365809356794,0.4780928,33.71673,0.9748230155957565,0.39805194103601155,0.3559190283595224,0.32419869313059213,0.397610155309292
6,7,0,manipulated_front,6,quickshift,blend_2,100,100,False,30000,5,3,0.11947180327011105,lm_p_loss,0.521325833561001,0.45282504,0.4528250467867012,0.45282504,0.014592274678111588,0.005339047176462729,0.0027714080765276162,0.013671875,0.007975260416666666,0.004262956007066665,0.0011881555352980893,0.3853849,33.45003,0.8911696384825366,0.6318954731574158,0.7431985808777211,0.7590455921467066,0.6318954731574158
7,8,0,manipulated_front,7,quickshift,blend_2,100,100,False,30000,5,3,0.15092769300901387,lm_p_loss,0.5951052080517962,0.5086604,0.508660353902058,0.39760295,0.011746522411128285,0.006932083717874989,0.0022492113015821383,0.019287109375,0.011250813802083334,0.006013812938540474,0.0011900972167495638,0.3918295,36.90715,0.9144170266944597,0.6916166897627892,0.6520318765308459,0.6259577127463425,0.6916166897627892
8,9,0,manipulated_front,8,quickshift,blend_2,100,100,False,30000,5,3,0.15354864629095824,lm_p_loss,0.6808660832610547,0.41850072,0.4185007167697601,0.41745666,0.010703712138465042,0.006368572537382534,0.001883210729258065,0.01513671875,0.007988823784722222,0.005080490792933916,0.0010716025620543708,0.43448642,34.50508,0.9500634409919719,0.7000836986295955,0.7343314584313276,0.7319203054654118,0.7151840381673655
9,10,0,manipulated_front,9,quickshift,blend_2,100,100,False,30000,5,3,0.19434861065242148,lm_p_loss,0.7003423233473284,0.5454877,0.5454876917204425,0.5118678,0.02867546654528903,0.013453309241772324,0.005683473711428382,0.0064697265625,0.0021565755208333335,0.003049858349844321,0.0007032352441456169,0.33632982,40.047817,0.8679280056193451,0.8402668145685692,0.8369103338920223,0.8326865522861044,0.8402668145685692
10,11,0,manipulated_front,10,quickshift,blend_2,100,100,False,30000,5,3,0.12195844450478996,lm_p_loss,0.5556711045115584,0.45776808,0.4577680813965922,0.31963822,0.006231373611487402,0.004069821419936748,0.0011452932649208835,0.01416015625,0.008260091145833334,0.004415204435890475,0.0010804564214292138,0.3314902,29.717884,0.9192730444773939,0.6055276753391037,0.6898209752161772,0.7788243419635276,0.6055276753391037
11,12,0,manipulated_front,11,quickshift,blend_2,100,100,False,30000,5,3,0.16082991474056302,lm_p_loss,0.794080051856079,0.431765,0.431765004459955,0.29306406,0.0060954961056552655,0.00278477073718839,0.0017684940657249045,0.011474609375,0.006693522135416667,0.0035778380773595223,0.001069240194434921,0.3968177,33.99733,0.951196800370911,0.6105921944574318,0.6410862172929481,0.6352099854266324,0.6105921944574318
12,13,0,manipulated_front,12,quickshift,blend_2,100,100,False,30000,5,3,0.09728244274817344,lm_p_loss,0.49846019386091955,0.3859237,0.3859237280583808,0.28968367,0.0022935779816513763,0.001362848407252838,0.0007068554651890376,0.006591796875,0.00384521484375,0.0020553537891214277,0.0008834737867194539,0.46579874,30.07198,0.9271282653932283,0.4811124017579969,0.4981851693351357,0.589522211580046,0.4811124017579969
13,14,0,manipulated_front,13,quickshift,blend_2,100,100,False,30000,5,3,0.1489115189727584,lm_p_loss,0.5422628642347351,0.56855613,0.5685561363719848,0.49090222,0.013937282229965157,0.005337609767749616,0.0026123288790138883,0.01171875,0.0068359375,0.003653962291771427,0.001086958494852297,0.4011185,34.686905,0.9412060275873326,0.7823690774975514,0.8289271649526608,0.839464985308521,0.7823690774975514
14,15,0,manipulated_front,14,quickshift,blend_2,100,100,False,30000,5,3,0.1672579166005309,lm_p_loss,0.6945630342631675,0.5151736,0.5151735913943221,0.5151736,0.0392156862745098,0.005718643028993885,0.008724485726439043,0.01220703125,0.007120768229166667,0.0038062107205952367,0.0011676644207909703,0.4240667,31.897501,0.9363548426594832,0.5728713113750459,0.5696424635729154,0.5629815109587364,0.5571788906575241
15,16,0,manipulated_front,15,quickshift,blend_2,100,100,False,30000,5,3,0.16302221968120062,lm_p_loss,0.6422700136681695,0.5250275,0.5250275020866704,0.38245127,0.014546580006190035,0.005691517379730657,0.0030780267375500243,0.018310546875,0.01068115234375,0.005709316080892855,0.0011649304506136104,0.39510775,35.154427,0.8929850593741698,0.5889018333435527,0.5665248226950355,0.5622891246142212,0.5693379933370123
16,17,0,manipulated_front,16,quickshift,blend_2,100,100,False,30000,5,3,0.16697616991725042,lm_p_loss,0.720349760436406,0.4826044,0.48260440469218424,0.3251713,0.016290726817042606,0.007985589036252518,0.00455889850071385,0.025390625,0.013400607638888888,0.008522113588147213,0.001156440518874054,0.3686657,33.671463,0.9064260064260063,0.6689053345303345,0.6219080750330751,0.5898766773766774,0.6702921234171234
17,18,0,manipulated_front,17,quickshift,blend_2,100,100,False,30000,5,3,0.13460643262716865,lm_p_loss,0.6484474354290185,0.45024464,0.45024462463705145,0.36158526,0.0017277125086385626,0.0011041495097424978,0.0004769415748775044,0.005859375,0.0030924479166666665,0.0019666415972647414,0.0007803942038056751,0.30083248,30.123161,0.9345150774246129,0.3996039629176854,0.3515001018744906,0.3425453341483293,0.3845927567237164
