,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,g_x,r2_score,cv_beta,heat_max,beta_max,threshold_lm,rc_y,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
15,16,0,good,7,quickshift,blend_3,100,100,False,30000,5000,3,0.30935575042350577,lm_p_maxloss,17.264234023514963,0.9913094638435652,2.270376307327892,1.9154795,1.9154795658388803,1.9154795,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003910679884332542,0.29597923,17.639444,0.0,0.0,0.0,0.0,0.0
16,17,0,good,8,quickshift,blend_2,100,100,False,30000,5000,3,0.4136566149230951,lm_p_maxloss,27.857437167675723,0.9950755726090894,1.6268246901221224,2.0442536,2.044253691212331,2.0442536,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0032921188685577363,0.33242,28.405447,0.0,0.0,0.0,0.0,0.0
17,18,0,good,8,quickshift,blend_3,100,100,False,30000,5000,3,0.41143717382146705,lm_p_maxloss,27.906181053354388,0.9940220901921888,1.6135890079282251,1.9900832,1.990083231056352,1.9900832,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0032921188685577363,0.33242,28.405447,0.0,0.0,0.0,0.0,0.0
18,19,0,good,9,quickshift,blend_2,100,100,False,30000,5000,3,0.39669417037465543,lm_p_maxloss,23.625829561472017,0.9979015466630142,1.7804613464685122,2.1456878,2.145687728716283,2.1456878,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003704758819367271,0.31307763,23.627554,0.0,0.0,0.0,0.0,0.0
19,20,0,good,9,quickshift,blend_3,100,100,False,30000,5000,3,0.4315953606457505,lm_p_maxloss,23.620068944557783,0.9985096851923959,1.9410999345744473,2.542091,2.5420908835097045,2.542091,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003704758819367271,0.31307763,23.627554,0.0,0.0,0.0,0.0,0.0
20,21,0,good,10,quickshift,blend_2,100,100,False,30000,5000,3,0.2529305373979495,lm_p_maxloss,17.168406998769875,0.9940251144586019,1.7549559084763964,1.3628138,1.3628138512304626,1.3628138,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0017454331245971844,0.2671088,17.213678,0.0,0.0,0.0,0.0,0.0
21,22,0,good,10,quickshift,blend_3,100,100,False,30000,5000,3,0.26116499617883415,lm_p_maxloss,17.129627232255586,0.9946108828001784,1.816372417336765,1.3660787,1.3660787279380737,1.3660787,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0017454331245971844,0.2671088,17.213678,0.0,0.0,0.0,0.0,0.0
22,23,0,good,11,quickshift,blend_2,100,100,False,30000,5000,3,0.551610452871378,lm_p_maxloss,30.204246546144944,0.9919335845404675,2.1645201106482137,4.4965267,4.4965265774406005,4.4965267,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.011217810679227114,0.472783,30.336376,0.0,0.0,0.0,0.0,0.0
23,24,0,good,11,quickshift,blend_3,100,100,False,30000,5000,3,0.4915303704346345,lm_p_maxloss,30.31603789590024,0.9911300291551152,1.9183127136812903,3.6311007,3.6311005477912697,3.6311007,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.011217810679227114,0.472783,30.336376,0.0,0.0,0.0,0.0,0.0
24,25,0,good,12,quickshift,blend_2,100,100,False,30000,5000,3,0.4230625727537871,lm_p_maxloss,28.446296005159084,0.9957269984793811,1.625270128113879,2.593606,2.5936059568067784,2.593606,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005500164159457199,0.42348394,28.31886,0.0,0.0,0.0,0.0,0.0
