,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,cv_beta,heat_max,beta_max,threshold_lm,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
0,1,0,crack,0,quickshift,blend_2,100,100,False,30000,5,3,1.026423491725757,lm_p_loss,0.8117153628760916,3.1274514,3.1274514680080134,3.1274514,0.13026607538802662,0.08954987191868294,0.019500390919731263,0.20586854460093898,0.12974544745949154,0.05852782080273914,0.007499891469099869,0.55211693,173.42245,0.9493505629172637,0.6499583992374686,0.6709276691433035,0.6924096467688613,0.6510111123403407
1,2,0,crack,1,quickshift,blend_2,100,100,False,30000,5,3,0.723507406445076,lm_p_loss,0.6519536869903391,2.6608148,2.660814691348487,2.6471493,0.19832677165354332,0.09348818186371533,0.04180561274222955,0.1824884792626728,0.11320141939297486,0.05056607858819832,0.004866300257466112,0.52249545,132.81117,0.9152695432503877,0.6563088974152305,0.6829105612090365,0.696208232833526,0.6563088974152305
2,3,0,crack,2,quickshift,blend_2,100,100,False,30000,5,3,0.26845432993714885,lm_p_loss,0.5122225090767365,1.0742446,1.0742446344502843,0.6987373,0.021006267999322377,0.016173983287178555,0.0026147541651014737,0.0133056640625,0.00974336884558434,0.003162645974642454,0.0007479299286690851,0.36134163,67.72345,0.9195738138828009,0.6313831725208758,0.6376342578772755,0.6174017958179302,0.6313831725208758
